Name,Total Occurrences,Books Found In
Ezel,1,"1_kings"
Ezrahite,1,"3_kings"
Ezri,2,"judges"
faceth Moab,1,"numbers"
Faith,1,"james"
faithful minister,1,"colossians"
falleth under,1,"leviticus"
False Prophet,4,"revelation"
Farewell,1,"acts"
Father,106,"1_corinthians;1_john;1_peter;1_thessalonians;1_timothy;2_corinthians;2_john;2_peter;2_thessalonians;2_timothy;4_kings;acts;apocalypse;colossians;ephesians;galatians;hebrews;isaias;james;john;jude;luke;mark;matthew;philemon;philippians;psalms;romans;ruth;titus;wisdom"
Favour,1,"proverbs"
Felix,2,"acts"
Festus,2,"acts"
fig,2,"4_kings;genesis"
figs,1,"numbers"
Figs,1,"jeremias"
Fill,1,"3_kings"
Fill Sion,1,"ecclesiasticus"
findeth honey,1,"judges"
findeth me,1,"genesis"
findeth none,1,"matthew"
findeth Philip,1,"john"
findeth wisdom,1,"proverbs"
Flock,1,"genesis"
Fodder,1,"ecclesiasticus"
Fools,1,"proverbs"
Foreknown,1,"1_peter"
Forrest,1,"2_kings"
forsaken,3,"baruch;isaias"
Forsaken,1,"isaias"
forsaketh reproofs,1,"proverbs"
Forthwith,1,"genesis"
Forthwith Josue,1,"numbers"
Fulfil,1,"exodus"
Fundamenta,1,"psalms"
Gaal,1,"judges"
Gaas,1,"2_kings"
Gaba,1,"isaias"
Gabaa,15,"1_kings;2_kings;3_kings;4_kings;josue;judges"
Gabaa Hachila,1,"1_kings"
Gabaa of Benjamin,1,"1_kings"
Gabaath,3,"isaias;josue"
Gabae,1,"josue"
Gabam,1,"josue"
Gabaon,10,"2_kings;3_kings;isaias;jeremias;josue"
Gabathon,1,"josue"
Gabim,1,"isaias"
Gabriel,3,"daniel;luke"
Gad,1,"2_kings"
Gaddi,1,"numbers"
Gadi,1,"4_kings"
Gaham,1,"genesis"
Gaius,4,"2_john;3_john;acts"
Galaad,33,"1_kings;2_kings;3_kings;4_kings;canticle_of_canticles;deuteronomy;genesis;jeremias;josue;judges;numbers;psalms"
Galatia,1,"acts"
Galgal,3,"1_kings;josue"
Galilean,1,"mark"
Galileans,2,"john;luke"
Galilee,38,"3_kings;4_kings;acts;john;josue;luke;mark;matthew;numbers"
Gallio,1,"acts"
Gamaliel,4,"acts;numbers"
Gareb,2,"2_kings;jeremias"
Garizim,1,"john"
Gatham,1,"genesis"
Gatherer,1,"proverbs"
gathereth grapes,1,"ecclesiasticus"
Gazer,6,"3_kings;josue;judges"
Gazophylacia,1,"ezechiel"
Gebbethon,3,"3_kings;josue"
Gedeon,3,"judges"
Gedera,1,"josue"
Gederothaim,1,"josue"
Geennom,3,"1_kings;josue"
Gehenna,1,"matthew"
Gehon,2,"ecclesiasticus;genesis"
Gelboe,3,"1_kings;2_kings"
Gemalli,1,"numbers"
Gentile,2,"colossians;judges"
